time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.674953598586149e-06,7.360066238738871e-07,10.006675681220571,8.857930666295033e-05,0.0019283419697435633,0.0,-0.00047063324730731745,4.0791247157113186e-05,0.2225049481300804,-0.004674031848832447,0.014059170074033327,0.0,473.60278188562285,474.6826299978492,474.39734239836986,474.03840748119427
0.12000000000000001,-8.237261650283162e-05,3.170104392486579e-05,10.023453592927732,0.006442634510683831,0.0032693121927147573,0.0,-0.0021682385054100804,0.001683604516563957,0.3367293794282041,-0.03411551580677927,0.005040570489475326,0.0,442.0169413715907,441.2731001499049,442.48685831130297,440.0569298108219
0.18,-0.0002893904713404519,0.0002798566235305347,10.04785316075132,0.007671037738433917,0.004438809338002336,0.0,-0.004870753285106523,0.006743311355212592,0.4765393993431448,-0.05517727078860253,-0.006430076255740614,0.0,450.650285034256,449.72226942662087,449.66958900752064,447.95953790696456
0.23999999999999996,-0.0006698632618897752,0.0008340620276783837,10.078829285655434,0.006291212533173329,0.004312179310123732,0.0,-0.007794528802072667,0.011609780670087834,0.5559632283519449,-0.07164649369743706,-0.0019255798618300554,0.0,430.5080752401104,430.8890747678886,431.1632978481283,429.7670846062403
0.3,-0.0012127682103827365,0.0016216746377385471,10.111048760608098,0.002120986112152501,0.005405035012256754,0.0,-0.010402401610432176,0.014301456198963157,0.5180388542633266,-0.06873978642602034,-0.015227078530474246,0.0,391.1682460002007,389.92786797275363,391.3739598572395,391.6398013154018
0.36000000000000004,-0.001968550826731959,0.002511649774752905,10.147945897336827,6.281169906576627,0.006745708102378956,0.0,-0.014927433725469423,0.01488631120944219,0.7117643224363781,-0.0699727031677878,6.40059174860548e-05,0.0,466.006130735103,467.1998055377958,465.44978008020087,465.34990379526073
0.4200000000000001,-0.0030194925307726215,0.0033518283525032022,10.195997349875462,6.279322354320389,0.006794926807815571,0.0,-0.020107122947815585,0.01293078616303711,0.8898282768918153,-0.08801176300460378,0.0014880499393669473,0.0,461.0932347980334,461.20569401718836,462.66692363500874,461.2403347872476
0.48000000000000015,-0.004395599641081938,0.004018636855879061,10.255982020998283,6.2756602507774275,0.0077009355941708435,0.0,-0.02588365162080683,0.008876970519043187,1.1094705441619386,-0.1032006874088211,-0.009684199925611606,0.0,474.6248927012669,473.766812714613,474.7284845850238,473.55497462960614
0.5400000000000001,-0.006129445750850821,0.004345134917595008,10.32869300764601,6.26948313857589,0.007156108088343771,0.0,-0.031844223019463214,0.0012860221933602674,1.3140100701425845,-0.10619943081715208,-0.008478588808071284,0.0,470.7476394522143,470.84103795238656,469.6159610876268,469.3744913787614
0.6000000000000002,-0.008207506177047099,0.004142127174931223,10.410753334418892,6.270508878860255,0.011402096479961266,0.0,-0.037886988599950176,-0.007912623680258104,1.4212042947324404,-0.13721907509911782,-0.033595252407782245,0.0,441.13334170718895,439.0546573817112,443.03547883793755,440.4655159777827
0.6600000000000003,-0.010692519534947868,0.0034012850435174795,10.497132785674216,6.262331476946466,0.010552839216405374,0.0,-0.0448798110357363,-0.017535364799327855,1.458053302201937,-0.14127153673715603,-0.04668727376591357,0.0,419.22905240730023,418.08923531704005,418.4538314490605,418.0818076899432
0.7200000000000003,-0.013602994045720981,0.0018757629073165984,10.588094471994614,6.254081409087981,0.008943412191661615,0.0,-0.05198043839305843,-0.03417702282900149,1.5738312731909134,-0.13712558117697496,-0.05990662471225695,0.0,444.18417721938346,443.0971632518694,444.2959736746207,444.61755587083513
0.7800000000000004,-0.01690400101458972,-0.0008216730163549861,10.686101882367176,6.246978388998592,0.006710237401197361,0.0,-0.05783243833527293,-0.056487749149801446,1.6928908064983625,-0.12664811337273169,-0.07394397446773833,0.0,445.8506347618248,444.69930002773856,445.2111201867938,446.05109120298084
0.8400000000000004,-0.020481017700327637,-0.004876011310062246,10.78815456919316,6.244159625611161,0.0023285071572445304,0.0,-0.06100737353699386,-0.07888538582739944,1.7088342907755325,-0.1518293411475365,-0.07231068922896344,0.0,412.7012020513344,412.84068517285914,413.1778443778802,410.9334491682381
0.9000000000000005,-0.024179082180153823,-0.010590914670703788,10.897538788759354,6.239051655559859,6.281163691917413,0.0,-0.061736337206478746,-0.11223944005770088,1.9369211093490772,-0.13108361796873594,-0.07376278305827808,0.0,479.66564460435666,479.5516835286242,477.15376150839506,478.71676239500727
0.9600000000000005,-0.02782517680444446,-0.018297153022794947,11.01763629756171,6.234183060054159,6.277633295197202,0.0,-0.059415451040114774,-0.14516127134687534,2.066076507949865,-0.11328411184487823,-0.06452839370333928,0.0,449.7142949289446,450.45785348699735,449.0269790772296,450.454499653982
1.0200000000000005,-0.03125440090953944,-0.02813756772643489,11.146424301577133,6.227474589969134,6.27519970716388,0.0,-0.05461033988250276,-0.18358419518441385,2.2265145441328125,-0.11101051353033049,-0.052537286213456845,0.0,459.7255060146637,460.6721290857978,459.7987857374979,459.9680812943815
1.0800000000000005,-0.03432241520971849,-0.0405373499396334,11.286687218455013,6.221456837449036,6.272045760031894,0.0,-0.047281748240608705,-0.230447685996294,2.4484165980376518,-0.10334627626709209,-0.0526260452077037,0.0,478.7979021573242,478.78956660704006,478.9422021547051,479.51531584819554
1.1400000000000006,-0.0368914823632245,-0.055842993782471984,11.439904799563635,6.222594921536128,6.2722298436709245,0.0,-0.03835845347298592,-0.27961141756208374,2.6583718637496885,-0.0748466254003897,-0.03376543665421771,0.0,476.1822829008258,477.6217099836949,475.0272474240231,477.20076173871104
